timestamp,bpm
2024-04-01T00:01:44.000Z,66
2024-04-01T00:06:44.000Z,65
2024-04-01T00:11:44.000Z,65
2024-04-01T00:16:44.000Z,67
2024-04-01T00:21:44.000Z,63
2024-04-01T00:26:44.000Z,64
2024-04-01T00:31:44.000Z,66
2024-04-01T00:36:44.000Z,65
2024-04-01T00:41:44.000Z,64
2024-04-01T00:46:44.000Z,65
2024-04-01T00:51:44.000Z,63
2024-04-01T00:56:44.000Z,65
2024-04-01T01:01:44.000Z,66
2024-04-01T01:06:44.000Z,67
2024-04-01T01:11:44.000Z,66
2024-04-01T01:16:44.000Z,67
2024-04-01T01:21:44.000Z,68
2024-04-01T01:26:44.000Z,59
2024-04-01T01:31:44.000Z,62
2024-04-01T01:36:44.000Z,63
2024-04-01T01:41:44.000Z,63
2024-04-01T01:46:44.000Z,65
2024-04-01T01:51:44.000Z,66
2024-04-01T01:56:44.000Z,61
2024-04-01T02:01:44.000Z,65
2024-04-01T02:06:44.000Z,62
2024-04-01T02:11:44.000Z,61
2024-04-01T02:16:44.000Z,61
2024-04-01T02:21:44.000Z,62
2024-04-01T02:26:44.000Z,61
2024-04-01T02:31:44.000Z,63
2024-04-01T02:36:44.000Z,64
2024-04-01T02:41:44.000Z,64
2024-04-01T02:46:44.000Z,65
2024-04-01T02:51:44.000Z,58
2024-04-01T02:56:44.000Z,62
2024-04-01T03:01:44.000Z,62
2024-04-01T03:06:44.000Z,63
2024-04-01T03:11:44.000Z,61
2024-04-01T03:16:44.000Z,58
2024-04-01T03:21:44.000Z,56
2024-04-01T03:26:44.000Z,59
2024-04-01T03:31:44.000Z,62
2024-04-01T03:36:44.000Z,59
2024-04-01T03:41:44.000Z,59
2024-04-01T03:46:44.000Z,62
2024-04-01T03:51:44.000Z,56
2024-04-01T03:56:44.000Z,58
2024-04-01T04:01:44.000Z,59
2024-04-01T04:06:44.000Z,56
2024-04-01T04:11:44.000Z,58
2024-04-01T04:16:44.000Z,59
2024-04-01T04:21:44.000Z,60
2024-04-01T04:26:44.000Z,59
2024-04-01T04:31:44.000Z,57
2024-04-01T04:36:44.000Z,60
2024-04-01T04:41:44.000Z,61
2024-04-01T04:46:44.000Z,61
2024-04-01T04:51:44.000Z,62
2024-04-01T04:56:44.000Z,61
2024-04-01T05:01:44.000Z,61
2024-04-01T05:06:44.000Z,58
2024-04-01T05:11:44.000Z,59
2024-04-01T05:16:44.000Z,59
2024-04-01T05:21:44.000Z,57
2024-04-01T05:26:44.000Z,57
2024-04-01T05:31:44.000Z,58
2024-04-01T05:36:44.000Z,61
2024-04-01T05:41:44.000Z,61
2024-04-01T05:46:44.000Z,59
2024-04-01T05:51:44.000Z,59
2024-04-01T05:56:30.000Z,60
2024-04-01T06:01:30.000Z,57
2024-04-01T06:06:30.000Z,58
2024-04-01T06:11:30.000Z,60
2024-04-01T06:16:30.000Z,59
2024-04-01T06:21:44.000Z,60
2024-04-01T06:26:44.000Z,57
2024-04-01T06:31:44.000Z,59
2024-04-01T06:36:44.000Z,59
2024-04-01T06:41:44.000Z,57
2024-04-01T06:46:44.000Z,59
2024-04-01T06:51:44.000Z,59
2024-04-01T06:56:44.000Z,61
2024-04-01T07:01:44.000Z,61
2024-04-01T07:06:44.000Z,62
2024-04-01T07:11:44.000Z,62
2024-04-01T07:16:44.000Z,59
2024-04-01T07:21:44.000Z,59
2024-04-01T07:26:44.000Z,60
2024-04-01T07:46:44.000Z,63
2024-04-01T07:47:30.000Z,64
2024-04-01T08:02:51.000Z,57
2024-04-01T08:27:13.000Z,68
2024-04-01T08:27:20.000Z,63
2024-04-01T08:28:12.000Z,66
2024-04-01T08:31:51.000Z,68
2024-04-01T08:31:59.000Z,66
2024-04-01T08:32:06.000Z,62
2024-04-01T08:37:03.000Z,77
2024-04-01T08:37:04.000Z,72
2024-04-01T08:38:44.000Z,67
2024-04-01T08:42:22.000Z,68
2024-04-01T08:43:08.000Z,73
2024-04-01T08:43:11.000Z,77
2024-04-01T08:48:27.000Z,72
2024-04-01T08:48:54.000Z,68
2024-04-01T08:48:59.000Z,64
2024-04-01T08:57:29.000Z,63
2024-04-01T08:57:31.000Z,71
2024-04-01T08:57:32.000Z,66
2024-04-01T08:59:18.000Z,72
2024-04-01T08:59:45.000Z,60
2024-04-01T08:59:47.000Z,64
2024-04-01T09:32:44.000Z,71
2024-04-01T09:33:26.000Z,78
2024-04-01T09:33:27.000Z,77
2024-04-01T09:37:21.000Z,64
